DATEPRD,NPD_WELL_BORE_CODE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,AVG_DOWNHOLE_PRESSURE,AVG_WELLHEAD_PRESSURE,AVG_TEMPERATURE,AVG_CHOKE_SIZE_P
2014-01-01,F-1C,2075.76,3497.06,381.18,3423.71,850.98,184.39,44.76
2014-01-02,F-1C,2105.94,3477.32,363.67,3425.44,847.32,184.83,46.33
2014-01-03,F-1C,2023.57,3455.62,446.68,3448.93,864.38,185.21,50.54
2014-01-04,F-1C,2099.04,3426.88,384.12,3405.28,858.46,185.17,52.7
2014-01-05,F-1C,2036.83,3430.55,372.88,3467.51,917.03,188.63,53.06
2014-01-06,F-1C,2089.02,3314.49,367.86,3456.78,850.46,183.55,50.02
2014-01-07,F-1C,1985.05,3401.78,412.51,3459.03,878.88,187.75,51.52
2014-01-09,F-1C,2076.61,3406.39,382.8,3427.77,879.98,187.83,57.09
2014-01-10,F-1C,2048.44,3648.28,386.5,3416.9,859.06,183.4,55.59
2014-01-10,F-1C,1372.66,2389.81,734.52,3116.99,786.55,183.19,49.34
2014-01-11,F-1C,2073.37,3375.85,395.56,3382.83,844.26,187.73,51.95
2014-01-12,F-1C,2003.52,3410.28,430.76,3434.22,866.1,188.98,52.76
2014-01-13,F-1C,2006.07,3419.85,403.81,3414.29,885.05,185.66,44.29
2014-01-14,F-1C,2035.49,3330.21,404.5,3437.74,856.01,186.67,46.33
2014-01-15,F-1C,1967.75,3470.02,411.26,3372.77,837.65,184.25,52.37
2014-01-16,F-1C,1989.96,3300.82,413.05,3436.13,853.68,185.09,50.91
2014-01-17,F-1C,2025.28,3348.82,429.67,3386.12,843.12,187.79,49.94
2014-01-18,F-1C,2074.19,3457.69,443.51,3393.02,774.85,185.25,55.36
2014-01-19,F-1C,2087.03,3411.03,417.19,3407.3,871.14,183.79,54.27
2014-01-20,F-1C,1952.67,3386.66,415.14,3405.44,774.85,185.53,53.65
2014-01-21,F-1C,2047.32,3375.01,446.98,3492.08,851.19,185.83,48.14
2014-01-22,F-1C,2051.39,3432.73,403.7,3433.26,881.79,186.13,55.02
2014-01-23,F-1C,1997.32,3227.32,443.38,3453.3,871.9,184.33,49.95
2014-01-24,F-1C,1928.79,3382.15,449.1,3425.11,875.78,184.5,52.3
2014-01-25,F-1C,1913.56,3254.71,442.66,3404.01,880.92,187.32,59.99
